,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
102,Xiaomi,4500,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,14875,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,6,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
103,Apple,,5.8,Yes,64,Yes,Yes,No,Yes,Yes,2.0,eSIM,Yes,No,0,82799,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Hexa,apple,2.49,Yes,4,No,12,LED,7,463,70.9,143.6,177,Yes,No,No,September,2018,2,1125,2436,1,1,1,0,0,0,1,1,0,0
104,Apple,,5.8,Yes,512,Yes,Yes,No,Yes,Yes,2.0,eSIM,Yes,No,0,82799,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Hexa,apple,2.49,Yes,4,No,12,LED,7,463,70.9,143.6,177,Yes,No,No,September,2018,2,1125,2436,1,1,1,0,0,0,1,1,0,0
105,Xiaomi,5000,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,8999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,1.8,Yes,4,No,13,LED,8,409,77.07,164.90,196.0,No,No,Yes,August,2020,2,1080,2340,1,0,1,0,0,0,1,1,0,0
106,OnePlus,3700,6.41,Yes,128,Yes,Yes,Yes,No,Yes,2.0,Nano,Yes,No,0,34999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.8,Yes,8,No,20,Dual LED,16,402,74.8,157.5,185,Yes,No,No,October,2018,2,1080,2340,1,1,1,1,0,0,1,1,0,0
107,OnePlus,3700,6.41,Yes,256,Yes,Yes,Yes,No,Yes,2.0,Nano,Yes,No,0,34999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.8,Yes,8,No,20,Dual LED,16,402,74.8,157.5,185,Yes,No,No,October,2018,2,1080,2340,1,1,1,1,0,0,1,1,0,0
108,Xiaomi,4030,6.08,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,14897,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2,Yes,6,Yes,48,LED,32,286,71.9,153.5,173.8,Yes,No,Yes,July,2019,3,720,1560,1,1,1,0,0,0,1,1,0,0
109,Xiaomi,4030,6.08,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,11966,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2,Yes,4,Yes,48,LED,32,286,71.9,153.5,173.8,Yes,No,Yes,July,2019,3,720,1560,1,1,1,0,0,0,1,1,0,0
110,Vivo,5000,6.35,Yes,128,Yes,No,Yes,No,No,2.0,Nano,No,No, 256,13900,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,4,Yes,13,LED,20,271,76.77,159.43,191,Yes,No,Yes,April,2019,3,720,1544,1,0,1,0,0,0,0,1,0,0
111,Vivo,4500,6.44,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,22990,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2,Yes,8,Yes,48,LED,32,409,74.17,159.01,176,Yes,No,Yes,November,2019,4,1080,2400,1,1,1,0,0,0,1,1,0,0
